"Search Phrase","Category","Product ID","Product","Brand or Artist","Release","Format","List Price","Sale Price","Discount","%","Comm.","Bestseller","Rating","Reviews","Link"
"","","B003XDIPNA","Flamingo 10,000 Lux Full Spectrum Light Therapy Floor Lamp for SAD, Black","","","","$287.99","$258.95","$29.04","10.1%","$10.36","","4.1","27","http://www.amazon.com/Flamingo-Spectrum-Light-Therapy-Floor/dp/B003XDIPNA/ref=sr_1_23/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-23&keywords=Northern&tag=dummyaffliate"
"","","B000BUEC44","Northern Lab-Goddards 704685 Goddard's Granite And Marble Furniture Polish, 8 oz","","","","","$5.88","","","$0.24","","4.1","21","http://www.amazon.com/Northern-Lab-Goddards-704685-Goddards-Furniture/dp/B000BUEC44/ref=sr_1_31/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-31&keywords=Northern&tag=dummyaffliate"
"","","B005JE8G12","Bulbrite NOS40T14 40-Watt Nostalgic Edison T14 Tubular, Vintage Spiral Filament","","","","$14.99","$7.08","$7.91","52.8%","$0.28","","4.0","58","http://www.amazon.com/Bulbrite-NOS40T14-40-Watt-Nostalgic-Filament/dp/B005JE8G12/ref=sr_1_83/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-83&keywords=Northern&tag=dummyaffliate"
"","","B000UOD5QM","Garmin Heart-Rate Monitor","","","","$60.00","$34.29","$25.71","42.9%","$1.37","","3.9","793","http://www.amazon.com/Garmin-010-10997-00-Heart-Rate-Monitor/dp/B000UOD5QM/ref=sr_1_44/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-44&keywords=Northern&tag=dummyaffliate"
"","","B00JJE5NCS","TP+ Cleansing Foam with Aloe, 1.5 fl.oz. 2 Count","","","","","$10.99","","","$0.44","","3.9","50","http://www.amazon.com/TP-Cleansing-Foam-fl-oz-Count/dp/B00JJE5NCS/ref=sr_1_25/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-25&keywords=Northern&tag=dummyaffliate"
"","","B00LB1NZSG","Ipow Enhanced Professional Four Spring Sport Breathable Knee Patella Compression Sleeve Wrap Support Brace Cap...","","","","$29.89","$9.93","$19.96","66.8%","$0.40","","3.9","38","http://www.amazon.com/Professional-Breathable-Compression-Stabilizer-adjustaable/dp/B00LB1NZSG/ref=sr_1_59/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-59&keywords=Northern&tag=dummyaffliate"
"","","B007UZNR08","Quilted Northern Soft and Strong Bath Tissue, 48 Double Rolls","","","","","$39.95","","","$1.60","","3.8","214","http://www.amazon.com/Quilted-Northern-Strong-Tissue-Double/dp/B007UZNR08/ref=sr_1_7/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-7&keywords=Northern&tag=dummyaffliate"
"","","B00196LFIU","BioBrite Sunrise Clock Advanced Model  Charcoal","","","","","$109.95","","","$4.40","","3.8","144","http://www.amazon.com/BioBrite-Sunrise-Clock-Advanced-Charcoal/dp/B00196LFIU/ref=sr_1_32/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-32&keywords=Northern&tag=dummyaffliate"
"","","B001JEPEES","Wagner 0518050 Control Spray Double Duty Paint Sprayer","","","","$99.99","$79.00","$20.99","21.0%","$3.16","","3.8","73","http://www.amazon.com/Wagner-0518050-Control-Double-Sprayer/dp/B001JEPEES/ref=sr_1_102/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-102&keywords=Northern&tag=dummyaffliate"
"","","B007RAM6DA","Mushroom House Dried Mushroom, Stir Fry Blend, 1-Pound","","","","","$18.60","","","$0.74","","3.8","37","http://www.amazon.com/Mushroom-House-Dried-Blend-1-Pound/dp/B007RAM6DA/ref=sr_1_77/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-77&keywords=Northern&tag=dummyaffliate"
